"Name","_wandb","mixer_weight/08","mixer_weight/05","mixer_weight/04","mixer_weight/10","mixer_weight/01","mixer_weight/02","mixer_weight/03","mixer_weight/09","mixer_weight/11","mixer_weight/12","mixer_weight/06","mixer_weight/07","mixer_weight/00"
"solar-river-194","","0.04355234280228615","0.018998093903064728","0.0903623029589653","0.1573949158191681","0.19134743511676788","0.02324812114238739","0.03387351706624031","0.0237119123339653","0.03540631756186485","0.2910025417804718","0.03249470144510269","0.04108348116278648","0.017524302005767822"
"brisk-darkness-193","","0.0035792130511254072","0.06526121497154236","0.09387275576591492","0.03336510807275772","0.1514326184988022","0.052222318947315216","0.06395109742879868","0.026143819093704224","0.0791083499789238","0.32181644439697266","0.032702550292015076","0.041641950607299805","0.03490249812602997"
"honest-bee-192","","0.05794035270810127","0.05650120601058006","0.21968954801559448","0.0854237750172615","0.037180095911026","0.012227754108607767","0.04300255700945854","0.014909261837601662","0.1272711455821991","0.12838265299797058","0.015815353021025658","0.17305482923984528","0.028601545840501785"
"curious-pond-191","","0.09405095130205154","0.028634430840611454","0.1352354884147644","0.02599441073834896","0.06710465252399445","0.03904362767934799","0.04143020138144493","0.044035766273736954","0.0848323255777359","0.3630441725254059","0.02410435490310192","0.03097132407128811","0.021518327295780185"
"vocal-night-190","","0.02158219553530216","0.03866255283355713","0.21123825013637543","0.07076498866081238","0.04480734467506409","0.0615532360970974","0.07012614607810974","0.14918340742588043","0.03816412016749382","0.07394956797361374","0.06556790322065353","0.04091598466038704","0.11348430812358856"
"fresh-lion-189","","0.13604123890399933","0.025059957057237625","0.15245814621448517","0.19717960059642792","0.06172988936305046","0.07899072021245956","0.02640419825911522","0.03267286717891693","0.04662225767970085","0.08132766932249069","0.06928527355194092","0.06756700575351715","0.02466111071407795"
"atomic-water-188","","0.011605101637542248","0.0366334542632103","0.07011135667562485","0.015053220093250276","0.1685793697834015","0.08216772973537445","0.07280878722667694","0.0779673233628273","0.010968878865242004","0.33876124024391174","0.08085949718952179","0.016594134271144867","0.017889928072690964"
"major-sky-187","","0.025998543947935104","0.09186014533042908","0.18007029592990875","0.04228394106030464","0.07902409136295319","0.03802105784416199","0.04091913253068924","0.12081807851791382","0.0766577422618866","0.22021593153476715","0.012353144586086271","0.021533599123358727","0.05024423450231552"
"frosty-galaxy-186","","0.07344963401556015","0.10361319780349731","0.06318154186010361","0.09173184633255003","0.20536231994628903","0.007449951022863388","0.04484836384654045","0.0693049505352974","0.05182310938835144","0.24725323915481567","0.017521504312753677","0.0074807642959058285","0.016979631036520004"
"stilted-water-185","","0.040275949984788895","0.01504452433437109","0.08831833302974701","0.205469012260437","0.16505783796310425","0.09839826822280884","0.05195189267396927","0.06398405879735947","0.030586129054427147","0.18138499557971952","0.0134233171120286","0.03980253264307976","0.006303173955529928"
